_RAJ2000,_DEJ2000,rest,g,r,i,J,H,K,W1,W2,W3,W4
45.01358228,0.17051917,284.3612442,10.20864797,8.843647971,8.037647971,6.328647971,5.727647971,5.518647971,5.393647971,5.323647971,4.826647971,1.448647971
44.9856339,0.188556372,1804.894018,3.562741472,2.876741472,2.788741472,5.307741472,5.244741472,4.274741472,5.042741472,5.442741472,1.103741472,-2.278258528
44.9856339,0.188556372,1804.894018,3.565741472,3.037741472,2.680741472,5.307741472,5.244741472,4.274741472,5.042741472,5.442741472,1.103741472,-2.278258528
44.9856339,0.188556372,1804.894018,3.520741472,2.981741472,2.802741472,5.307741472,5.244741472,4.274741472,5.042741472,5.442741472,1.103741472,-2.278258528
44.9856339,0.188556372,1804.894018,3.506741472,2.947741472,2.751741472,5.307741472,5.244741472,4.274741472,5.042741472,5.442741472,1.103741472,-2.278258528
44.97582062,0.187816098,1044.77392,4.749888385,4.063888385,3.975888385,3.010888385,2.693888385,2.640888385,2.579888385,2.612888385,2.276888385,-0.845111615
44.97582062,0.187816098,1044.77392,4.752888385,4.224888385,3.867888385,3.010888385,2.693888385,2.640888385,2.579888385,2.612888385,2.276888385,-0.845111615
44.97582062,0.187816098,1044.77392,4.707888385,4.168888385,3.989888385,3.010888385,2.693888385,2.640888385,2.579888385,2.612888385,2.276888385,-0.845111615
44.97582062,0.187816098,1044.77392,4.693888385,4.134888385,3.938888385,3.010888385,2.693888385,2.640888385,2.579888385,2.612888385,2.276888385,-0.845111615
45.06227265,0.215997559,161.0503283,9.326191928,8.056191928,7.521191928,6.060191928,5.462191928,5.307191928,5.166191928,5.161191928,4.966191928,2.930191928
45.06227265,0.215997559,161.0503283,9.351191928,8.066191928,7.539191928,6.060191928,5.462191928,5.307191928,5.166191928,5.161191928,4.966191928,2.930191928
45.06227265,0.215997559,161.0503283,9.348191928,7.977191928,7.510191928,6.060191928,5.462191928,5.307191928,5.166191928,5.161191928,4.966191928,2.930191928
45.07076692,0.234736241,401.7554788,8.11919096,6.99619096,6.54719096,5.16019096,4.53719096,4.39819096,4.31419096,4.34519096,4.01819096,0.60119096
45.03433653,0.235390557,174.7977547,2.827320751,1.995320751,1.541320751,0.393320751,-0.079679249,-0.193679249,-0.242679249,-0.291679249,-0.227679249,-0.307679249
44.92766411,0.219129423,615.831859,6.757689237,5.964689237,5.683689237,4.542689237,4.031689237,3.920689237,3.880689237,3.943689237,3.411689237,0.134689237
44.92766411,0.219129423,615.831859,6.736689237,5.922689237,5.606689237,4.542689237,4.031689237,3.920689237,3.880689237,3.943689237,3.411689237,0.134689237
44.92104673,0.21891689,745.2031145,6.343626693,5.550626693,5.269626693,6.414626693,5.919626693,5.419626693,5.184626693,5.017626693,2.730626693,-0.732373307
44.92104673,0.21891689,745.2031145,6.322626693,5.508626693,5.192626693,6.414626693,5.919626693,5.419626693,5.184626693,5.017626693,2.730626693,-0.732373307
44.92821387,0.227496446,667.4404448,6.5829374,5.7899374,5.5089374,6.3899374,5.7209374,5.8049374,5.4439374,5.3579374,3.6849374,0.0749374
44.92821387,0.227496446,667.4404448,6.5619374,5.7479374,5.4319374,6.3899374,5.7209374,5.8049374,5.4439374,5.3579374,3.6849374,0.0749374
44.97266752,0.237842607,217.1582371,9.999118463,8.538118463,7.844118463,6.278118463,5.654118463,5.461118463,5.334118463,5.256118463,5.568118463,2.534118463
44.97266752,0.237842607,217.1582371,9.972118463,8.619118463,7.877118463,6.278118463,5.654118463,5.461118463,5.334118463,5.256118463,5.568118463,2.534118463
44.99900291,0.230500967,1967.412844,5.544522489,5.026522489,4.852522489,4.017522489,3.883522489,3.585522489,3.335522489,3.316522489,0.862522489,-2.799477511
44.99857942,0.230766768,1408.351508,6.270444684,5.752444684,5.578444684,4.743444684,4.609444684,4.311444684,4.061444684,4.042444684,1.588444684,-2.073555316
44.99035272,0.283199999,678.9098301,6.018939515,5.539939515,5.355939515,6.992939515,6.377939515,6.570939515,6.032939515,6.128939515,3.135939515,-0.066060485
44.99035272,0.283199999,678.9098301,6.015939515,5.480939515,5.334939515,6.992939515,6.377939515,6.570939515,6.032939515,6.128939515,3.135939515,-0.066060485
44.99594058,0.287858557,1200.435817,4.781305276,4.302305276,4.118305276,3.177305276,2.797305276,2.728305276,2.670305276,2.684305276,1.867305276,-1.123694724
44.99594058,0.287858557,1200.435817,4.778305276,4.243305276,4.097305276,3.177305276,2.797305276,2.728305276,2.670305276,2.684305276,1.867305276,-1.123694724
45.16500809,0.200059997,264.6419531,3.871706535,3.527706535,3.420706535,2.538706535,2.336706535,2.235706535,2.187706535,2.223706535,2.152706535,2.019706535
45.16500809,0.200059997,264.6419531,3.911706535,3.510706535,3.392706535,2.538706535,2.336706535,2.235706535,2.187706535,2.223706535,2.152706535,2.019706535
45.20466031,0.233954404,1867.471713,5.689729839,5.168729839,5.074729839,4.032729839,3.617729839,3.640729839,3.571729839,3.572729839,0.740729839,-2.706270161
45.20466031,0.233954404,1867.471713,5.648729839,5.159729839,4.702729839,4.032729839,3.617729839,3.640729839,3.571729839,3.572729839,0.740729839,-2.706270161
45.13063892,0.208046076,2433.361334,5.463966986,5.040966986,4.492966986,3.835966986,3.549966986,3.222966986,3.357966986,3.322966986,0.706966986,-2.885033014
45.15051722,0.227590408,2748.339765,3.905647892,3.185647892,2.882647892,1.673647892,1.263647892,1.251647892,1.083647892,1.122647892,0.424647892,-3.640352108
45.1484629,0.232215913,630.4059983,7.102898316,6.382898316,6.079898316,7.292898316,6.597898316,6.662898316,6.128898316,6.007898316,2.957898316,0.052898316
45.26710489,0.231053066,1529.796132,6.014832208,5.386832208,5.259832208,5.707832208,4.850832208,4.575832208,4.662832208,5.040832208,1.347832208,-1.836167792
45.27664677,0.237778822,1584.71593,5.938242882,5.310242882,5.183242882,4.095242882,3.777242882,3.736242882,3.654242882,3.620242882,1.577242882,-1.966757118
45.31834104,0.277516853,996.9787889,5.017570407,4.366570407,4.244570407,3.309570407,2.969570407,2.876570407,2.831570407,2.871570407,2.050570407,-1.018429593
45.31834104,0.277516853,996.9787889,4.918570407,4.446570407,4.056570407,3.309570407,2.969570407,2.876570407,2.831570407,2.871570407,2.050570407,-1.018429593
45.31834104,0.277516853,996.9787889,4.954570407,4.447570407,4.264570407,3.309570407,2.969570407,2.876570407,2.831570407,2.871570407,2.050570407,-1.018429593
45.23447641,0.318158556,233.349128,5.942969088,5.322969088,5.108969088,4.094969088,3.680969088,3.604969088,3.521969088,3.566969088,3.515969088,1.791969088
45.26393497,0.329922826,1067.682583,7.196789209,6.361789209,6.168789209,4.901789209,4.381789209,4.276789209,4.307789209,4.371789209,2.459789209,-1.123210791
45.26393497,0.329922826,1067.682583,7.210789209,6.271789209,5.896789209,4.901789209,4.381789209,4.276789209,4.307789209,4.371789209,2.459789209,-1.123210791
45.26333545,0.369356962,1179.425515,6.399647406,5.725647406,5.472647406,4.369647406,3.881647406,3.784647406,3.839647406,3.900647406,2.022647406,-1.548352594
45.08615519,0.248825114,313.1549236,3.611203778,3.321203778,3.268203778,2.551203778,2.374203778,2.301203778,2.250203778,2.271203778,2.242203778,1.204203778
45.06654207,0.248208104,397.5775792,3.523890575,3.140890575,2.992890575,2.176890575,1.919890575,1.877890575,1.806890575,1.825890575,1.791890575,0.846890575
45.05881987,0.251662662,1712.84159,0.352414002,-0.030585998,-0.178585998,4.824414002,4.297414002,4.009414002,4.225414002,4.157414002,1.577414002,-2.240585998
45.0875431,0.265336711,1057.177395,6.813260659,6.107260659,5.802260659,4.646260659,4.154260659,4.054260659,4.023260659,4.054260659,2.284260659,-1.193739341
45.0875431,0.265336711,1057.177395,6.764260659,6.091260659,5.836260659,4.646260659,4.154260659,4.054260659,4.023260659,4.054260659,2.284260659,-1.193739341
45.0875431,0.265336711,1057.177395,6.776260659,6.086260659,5.873260659,4.646260659,4.154260659,4.054260659,4.023260659,4.054260659,2.284260659,-1.193739341
45.1029419,0.277042913,1792.104646,6.012183171,5.407183171,5.278183171,4.212183171,3.821183171,3.530183171,3.733183171,3.803183171,1.319183171,-2.367816829
45.09470784,0.277856448,475.3669826,8.893854931,8.288854931,8.159854931,6.589854931,5.827854931,5.801854931,5.520854931,5.471854931,3.996854931,0.738854931
